Reporte de drivers y modulos del kernel
Generado: 2026-05-16 11:13:22 -03
Equipo: javier-lcd
Kernel: 6.17.0-23-generic

=== MODULOS CARGADOS ===
Module                  Size  Used by
serial-base  | port                           | builtin/no-visible        | (32) serial8250:0.16 serial8250:0.3 serial8250:0.24 serial8250:0.14 serial8250:0.1 serial8250:0.22 serial8250:0.12 serial8250:0.30 serial8250:0.20 serial8250:0.8 serial8250:0.10 serial8250:0.29 serial8250:0.19 serial8250:0.6 serial8250:0.27 serial8250:0.17 serial8250:0.4 serial8250:0.25 serial8250:0.15 serial8250:0.2 serial8250:0.23 serial8250:0.13 serial8250:0.0 serial8250:0.31 serial8250:0.21 serial8250:0.9 serial8250:0.11 serial8250:0.7 serial8250:0.28 serial8250:0.18 serial8250:0.5 serial8250:0.26
serio        | atkbd                          | atkbd                     | (1) serio0
serio        | psmouse                        | psmouse                   | (2) serio2 serio1
serio        | serio_raw                      | serio_raw                 | (0) -
snd_seq      | snd_seq_midi                   | snd_seq_midi              | (0) -
spi          | da9052                         | builtin/no-visible        | (0) -
spi          | ezx-pcap                       | builtin/no-visible        | (0) -
spi          | max310x                        | builtin/no-visible        | (0) -
spi          | spi-nor                        | spi_nor                   | (1) spi0.0
spi          | tps65912                       | builtin/no-visible        | (0) -
spi          | wm831x                         | builtin/no-visible        | (0) -
usb          | btusb                          | btusb                     | (2) 1-10:1.0 1-10:1.1
usb          | hub                            | usbcore                   | (2) 1-0:1.0 2-0:1.0
usb          | usb                            | builtin/no-visible        | (6) 1-9 usb1 1-5 1-10 1-8 usb2
usb          | usbfs                          | usbcore                   | (0) -
usb          | usbhid                         | usbhid                    | (3) 1-5:1.1 1-5:1.2 1-5:1.0
usb          | uvcvideo                       | uvcvideo                  | (2) 1-8:1.1 1-8:1.0
virtio       | virtio_balloon                 | builtin/no-visible        | (0) -
virtio       | virtio_blk                     | builtin/no-visible        | (0) -
virtio       | virtio_console                 | builtin/no-visible        | (0) -
virtio       | virtio_iommu                   | builtin/no-visible        | (0) -
virtio       | virtio_net                     | builtin/no-visible        | (0) -
virtio       | virtio_rproc_serial            | builtin/no-visible        | (0) -
virtio       | virtio_scsi                    | builtin/no-visible        | (0) -
wmi          | intel-wmi-thunderbolt          | intel_wmi_thunderbolt     | (1) 86CCFD48-205E-4A77-9C48-2021CBEDE341
wmi          | think-lmi                      | think_lmi                 | (1) 51F5230E-9677-46CD-A1CF-C0B23EE34DB7
